Number1,Number2,Number3,Number4,Number5,Number6,SpecialNumber
9,10,29,30,44,47,2.4
6,13,25,30,33,47,2.4
7,15,26,27,31,41,2.4
2,22,29,31,36,45,2.4
2,6,10,43,47,48,2.4
2,4,14,15,38,42,2.4
5,10,19,24,26,38,2.4
2,5,28,29,31,38,2.4
6,15,17,19,38,48,2.4
5,16,17,18,21,43,2.4
19,25,28,30,37,48,2.4
5,12,17,31,42,46,2.4
14,16,26,30,34,45,2.4
1,5,31,33,43,48,2.4
1,3,6,12,32,35,2.4
10,13,20,32,37,47,2.4
18,22,25,42,45,48,2.4
3,6,8,14,39,43,2.4
17,23,26,30,31,32,2.4
11,18,19,31,33,42,2.4
2,4,7,23,31,36,2.4
3,22,24,28,46,48,2.4
3,22,31,34,41,44,2.4
1,14,20,25,27,31,2.4
12,13,26,36,40,45,2.4
1,3,7,11,25,39,2.4
1,7,14,23,35,36,2.4
1,3,11,21,25,32,2.4
2,12,18,25,30,35,2.4
1,18,25,39,41,43,2.4
6,9,20,34,40,42,2.4
1,22,23,26,30,45,2.4
9,11,33,40,42,47,2.4
4,11,20,26,29,41,2.4
1,14,15,31,33,41,2.4
1,10,24,33,36,43,2.4
8,10,15,19,23,26,2.4
23,24,28,33,43,46,2.4
2,19,22,24,41,44,2.4
5,14,18,30,34,40,2.4
13,26,27,28,41,42,2.4
4,8,10,19,26,49,2.4
2,24,25,39,46,49,2.4
1,21,24,30,43,44,2.4
5,9,13,40,42,47,2.4
4,18,22,25,36,38,2.4
4,13,14,25,27,49,2.4
2,4,23,32,35,47,2.4
1,3,24,33,35,47,2.4
1,14,24,25,33,35,2.4
10,23,27,36,38,48,2.4
4,5,20,28,31,36,2.4
18,22,23,26,28,41,2.4
1,13,17,20,33,42,2.4
4,7,9,13,28,49,2.4
3,10,11,12,28,29,2.4
17,20,29,30,34,47,2.4
15,24,33,38,40,43,2.4
1,6,10,22,37,45,2.4
8,10,26,27,29,34,2.4
3,5,11,12,24,47,2.4
11,12,18,30,41,44,2.4
1,11,22,41,45,48,2.4
5,11,18,25,40,43,2.4
12,17,26,30,33,39,2.4
7,9,18,26,27,34,2.4
8,9,18,25,26,27,2.4
9,34,38,40,42,45,2.4
10,13,26,35,37,38,2.4
3,8,14,21,25,45,2.4
10,17,23,27,28,36,2.4
3,4,11,27,33,49,2.4
7,9,41,42,46,47,2.4
4,11,26,38,41,46,2.4
11,23,24,32,37,38,2.4
6,14,16,20,27,39,2.4
21,29,31,33,36,39,2.4
14,25,29,34,44,48,2.4
8,10,18,28,31,49,2.4
4,34,35,39,40,42,2.4
8,11,24,39,40,44,2.4
1,17,22,31,33,35,2.4
12,19,20,30,40,43,2.4
11,22,27,30,44,46,2.4
8,18,27,37,40,44,2.4
8,14,17,33,36,45,2.4
14,16,39,40,44,47,2.4
6,9,15,25,33,37,2.4
9,17,20,22,36,42,2.4
4,12,13,14,23,29,2.4
3,9,12,17,18,34,2.4
6,14,17,25,37,38,2.4
12,15,17,25,26,28,2.4
1,5,16,17,29,43,2.4
2,9,11,17,18,39,2.4
11,13,19,41,44,49,2.4
1,2,18,34,36,45,2.4
1,20,23,40,44,46,2.4
6,22,23,32,35,46,2.4
1,7,15,34,35,49,2.4
10,14,17,22,26,34,2.4
15,20,29,33,39,46,2.4
2,20,30,44,47,49,2.4
5,11,12,14,36,49,2.4
6,10,28,34,35,47,2.4
2,5,14,16,31,33,2.4
4,7,20,22,24,36,2.4
2,12,21,23,40,47,2.4
12,33,43,44,47,49,2.4
14,20,29,42,47,49,2.4
5,17,23,25,37,43,2.4
5,15,33,36,39,40,2.4
1,9,27,32,35,45,2.4
2,17,26,29,30,39,2.4
4,17,33,40,47,49,2.4
7,14,25,27,30,31,2.4
8,24,38,42,43,47,2.4
3,4,21,25,33,45,2.4
3,19,31,32,36,37,2.4
1,11,16,37,40,46,2.4
1,7,9,16,26,45,2.4
9,17,18,22,44,46,2.4
1,11,12,23,33,47,2.4
15,19,23,35,39,41,2.4
2,7,17,21,25,32,2.4
12,18,21,32,35,36,2.4
4,13,20,28,41,42,2.4
17,27,30,34,38,46,2.4
1,8,15,16,17,42,2.4
6,12,21,25,27,30,2.4
7,16,17,19,28,49,2.4
7,18,26,32,35,37,2.4
22,25,38,42,44,45,2.4
7,11,18,21,30,35,2.4
2,6,20,21,24,25,2.4
16,27,28,38,39,47,2.4
2,9,12,23,24,32,2.4
5,6,13,21,29,31,2.4
2,20,21,23,38,49,2.4
8,15,20,24,40,43,2.4
2,15,20,25,26,45,2.4
1,3,6,14,22,36,2.4
18,19,20,22,26,35,2.4
1,12,14,16,33,40,2.4
4,8,19,26,31,47,2.4
3,24,28,31,38,42,2.4
13,15,25,29,37,40,2.4
17,20,24,35,43,46,2.4
5,10,12,32,41,49,2.4
10,13,21,24,40,42,2.4
13,15,20,31,36,40,2.4
2,9,12,16,28,39,2.4
4,7,12,14,17,43,2.4
5,8,25,30,31,35,2.4
2,24,26,36,37,46,2.4
3,12,14,29,32,41,2.4
6,16,32,37,39,44,2.4
2,10,11,26,35,44,2.4
1,3,8,22,30,35,2.4
15,25,28,32,34,42,2.4
2,16,25,27,32,39,2.4
4,8,17,24,29,46,2.4
9,13,15,28,33,44,2.4
3,22,29,39,43,46,2.4
4,9,12,29,30,33,2.4
1,6,14,20,27,29,2.4
10,11,12,26,30,41,2.4
8,12,13,21,25,29,2.4
7,11,16,32,33,47,2.4
5,7,13,20,32,41,2.4
6,16,21,30,40,47,2.4
11,18,19,32,35,39,2.4
17,22,24,25,36,48,2.4
1,6,10,13,32,33,2.4
2,3,30,33,40,46,2.4
11,14,18,33,45,47,2.4
5,7,28,31,44,49,2.4
2,18,28,30,34,46,2.4
3,12,14,21,34,36,2.4
3,7,13,34,35,49,2.4
2,9,17,26,30,40,2.4
2,7,13,17,25,28,2.4
16,22,34,35,41,48,2.4
7,12,13,18,21,24,2.4
1,3,11,15,42,46,2.4
2,26,29,45,46,47,2.4
10,29,30,38,39,45,2.4
6,16,24,39,46,47,2.4
12,14,20,24,31,37,2.4
1,14,15,16,30,33,2.4
12,14,15,33,39,46,2.4
3,19,24,41,42,45,2.4
6,8,17,19,24,26,2.4
13,16,27,29,40,46,2.4
2,5,38,40,44,49,2.4
3,10,26,32,40,49,2.4
5,8,9,23,29,30,2.4
6,25,26,33,34,35,2.4
11,15,17,29,38,45,2.4
11,17,33,35,45,49,2.4
12,16,17,37,42,48,2.4
5,7,13,22,24,32,2.4
6,15,28,39,43,48,2.4
2,3,7,13,21,22,2.4
3,10,26,30,33,43,2.4
3,14,15,28,33,42,2.4
6,13,20,28,44,48,2.4
9,17,25,26,47,48,2.4
6,8,16,19,21,33,2.4
10,13,17,34,38,49,2.4
14,21,22,25,30,38,2.4
21,29,38,45,47,49,2.4
7,9,10,17,30,31,2.4
26,30,35,36,42,43,2.4
4,5,8,22,34,46,2.4
7,13,20,31,47,48,2.4
8,11,16,17,32,36,2.4
13,17,36,37,44,45,2.4
4,17,23,38,41,49,2.4
14,17,28,31,32,47,2.4
1,6,20,25,26,45,2.4
4,11,13,23,31,40,2.4
5,14,27,42,44,49,2.4
5,12,15,24,28,45,2.4
7,17,29,31,37,40,2.4
1,8,22,34,39,47,2.4
4,13,15,25,27,31,2.4
6,8,18,19,48,49,2.4
13,23,26,27,40,44,2.4
3,28,32,36,37,40,2.4
7,17,26,32,34,38,2.4
3,13,19,22,32,36,2.4
12,19,28,29,40,45,2.4
5,9,24,27,38,43,2.4
10,12,18,34,41,44,2.4
9,16,19,27,36,47,2.4
3,15,17,25,42,47,2.4
10,26,29,32,42,46,2.4
7,20,21,24,29,32,2.4
3,15,19,22,30,45,2.4
8,15,17,20,21,31,2.4
1,19,25,38,43,45,2.4
1,3,26,37,39,42,2.4
17,18,22,24,34,44,2.4
15,18,35,46,48,49,2.4
4,6,7,14,15,22,2.4
4,11,25,31,36,43,2.4
10,24,27,29,33,39,2.4
20,28,30,36,45,48,2.4
3,4,10,16,26,48,2.4
9,21,28,36,38,46,2.4
1,23,28,33,45,49,2.4
12,27,28,34,37,39,2.4
10,18,23,37,38,47,2.4
1,20,31,38,45,49,2.4
14,17,22,25,45,46,2.4
1,10,22,30,45,47,2.4
1,4,11,18,33,44,2.4
3,6,9,12,20,41,2.4
4,10,15,22,24,45,2.4
3,4,6,7,15,25,2.4
5,18,22,24,30,34,2.4
7,19,36,41,44,48,2.4
14,21,24,26,38,44,2.4
7,10,11,23,24,28,2.4
15,20,22,36,37,44,2.4
13,20,26,36,42,44,2.4
1,11,12,34,46,48,2.4
4,5,11,33,44,47,2.4
3,9,11,17,22,31,2.4
19,24,26,35,42,45,2.4
2,20,27,29,33,44,2.4
14,17,21,28,29,36,2.4
3,6,11,27,39,45,2.4
21,22,23,44,46,49,2.4
5,21,29,41,44,46,2.4
11,13,20,32,33,41,2.4
12,16,34,38,42,44,2.4
1,5,7,9,38,45,2.4
4,5,22,35,36,43,2.4
21,35,42,43,44,45,2.4
3,4,8,21,22,24,2.4
3,4,12,20,33,35,2.4
10,17,26,34,35,44,2.4
13,15,16,27,30,38,2.4
7,13,15,18,31,47,2.4
9,11,16,40,46,47,2.4
1,13,17,28,44,47,2.4
2,5,36,43,45,48,2.4
3,5,14,31,34,38,2.4
13,33,35,46,48,49,2.4
12,24,32,42,44,48,2.4
2,6,11,15,16,19,2.4
3,7,20,23,40,43,2.4
1,15,28,32,40,44,2.4
15,16,21,27,33,41,2.4
8,26,28,38,43,44,2.4
9,22,34,39,41,45,2.4
8,12,21,34,41,49,2.4
8,26,27,35,38,48,2.4
12,13,14,22,26,29,2.4
8,17,37,38,43,48,2.4
28,30,35,36,40,49,2.4
10,11,18,22,23,38,2.4
5,14,15,18,40,42,2.4
2,6,10,36,38,45,2.4
9,18,32,36,38,47,2.4
9,24,26,30,35,36,2.4
13,15,20,29,40,49,2.4
14,15,37,40,42,45,2.4
22,24,28,37,41,48,2.4
3,4,18,19,33,34,2.4
15,27,34,40,43,48,2.4
20,27,30,38,47,49,2.4
5,13,20,24,39,43,2.4
9,17,18,30,32,38,2.4
8,22,27,38,44,48,2.4
5,13,18,23,30,32,2.4
7,8,14,18,35,42,2.4
17,24,29,30,37,40,2.4
2,10,11,16,30,39,2.4
17,18,22,32,33,34,2.4
5,10,14,28,34,45,2.4
4,5,23,31,39,44,2.4
19,24,27,28,34,43,2.4
1,14,17,19,21,45,2.4
1,24,30,31,38,43,2.4
2,4,15,29,33,48,2.4
11,12,25,36,42,48,2.4
3,7,23,26,45,48,2.4
2,5,17,19,42,45,2.4
6,15,27,28,29,44,2.4
6,12,32,35,37,48,2.4
4,9,13,19,35,43,2.4
1,2,5,9,10,13,2.4
2,3,11,33,44,45,2.4
14,15,27,28,29,35,2.4
17,24,26,43,46,49,2.4
15,23,30,33,45,47,2.4
3,20,27,33,40,48,2.4
3,4,6,16,45,48,2.4
3,4,8,32,39,49,2.4
7,13,26,38,45,46,2.4
1,13,22,26,42,47,2.4
9,10,20,34,35,40,2.4
5,18,19,28,34,46,2.4
3,7,20,27,38,45,2.4
12,14,19,23,33,46,2.4
1,10,17,25,31,40,2.4
1,5,15,32,42,49,2.4
2,16,30,31,40,42,2.4
6,10,13,24,31,46,2.4
20,22,31,34,39,46,2.4
9,18,29,30,38,44,2.4
1,5,12,37,39,43,2.4
10,12,21,22,29,31,2.4
11,21,23,42,45,47,2.4
8,12,30,33,45,46,2.4
4,8,21,23,25,49,2.4
2,10,16,33,40,43,2.4
16,17,23,25,28,36,2.4
9,12,16,21,29,43,2.4
6,20,29,30,36,44,2.4
10,14,30,37,42,45,2.4
3,9,13,24,39,44,2.4
3,6,7,21,41,45,2.4
9,14,15,23,25,39,2.4
9,14,15,19,27,46,2.4
2,4,23,25,28,33,2.4
2,3,10,28,33,44,2.4
4,5,8,9,20,49,2.4
13,21,28,29,32,40,2.4
1,9,16,32,37,38,2.4
7,19,31,38,41,46,2.4
21,22,26,32,38,39,2.4
3,9,13,22,25,44,2.4
1,8,10,28,40,49,2.4
1,3,4,35,37,48,2.4
11,12,13,14,24,45,2.4
7,13,25,28,36,39,2.4
2,12,13,16,41,43,2.4
8,9,21,35,38,48,2.4
14,15,27,42,43,49,2.4
1,9,11,12,13,19,2.4
2,5,11,21,27,44,2.4
7,16,25,34,37,46,2.4
21,24,28,34,42,44,2.4
8,14,17,18,24,33,2.4
4,8,14,22,26,27,2.4
2,8,18,30,44,46,2.4
2,9,10,15,43,46,2.4
6,29,30,36,43,48,2.4
6,18,23,32,39,49,2.4
2,8,10,21,27,47,2.4
13,20,21,25,40,49,2.4
14,19,24,28,47,49,2.4
5,10,18,27,36,46,2.4
14,16,21,26,32,37,2.4
2,13,16,20,24,43,2.4
1,5,14,15,28,41,2.4
14,15,34,35,45,49,2.4
15,20,26,28,35,36,2.4
1,8,23,36,38,44,2.4
12,16,17,21,32,36,2.4
5,12,23,35,36,38,2.4
3,16,19,27,41,48,2.4
7,22,34,37,41,45,2.4
1,2,3,8,33,37,2.4
1,7,16,21,26,32,2.4
11,12,15,30,33,36,2.4
1,6,11,28,31,42,2.4
5,26,27,29,39,49,2.4
5,13,20,24,27,38,2.4
2,29,31,40,41,48,2.4
13,17,23,26,31,48,2.4
6,13,17,18,23,33,2.4
3,17,29,39,40,49,2.4
6,18,27,29,43,45,2.4
7,19,20,22,39,43,2.4
5,18,21,28,29,33,2.4
5,9,24,31,45,46,2.4
14,19,28,31,37,48,2.4
4,5,10,36,38,44,2.4
2,11,12,14,33,37,2.4
